library order	Biosample name	Vocabulary representative	DCC Experiment ID	DCC Library ID	DCC Biosample ID	Altius Aggregation ID	Altius Library ID	Altius Biosample ID	Replicate indicators	System	Subsystem	Organ	Biosample type	Biological state	Germ layer	Description 	Growth stage	Age	Sex	Ethnicity	Donor ID	Biosample protocol	Experiment protocol	Library kit method	Library cleanup	DNaseI units/mL	Amount Nucleic Acid (ng)	Nuclei count	Protease inhibitor	Library sequencing date	Reads used	DCC SPOT score	Per-biosample peaks	DHSs in Index
181	fBrain		ENCSR026EOM	ENCLB947MJU	ENCBS471MPZ	AG9131	LN3165	DS14718	DS14717	Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	85D	F		H23266	Biosample protocol	Experiment protocol	PE	minElute	120	35.2	9360000		2010-04-30	23389536	0.4411	45961	45800
182	fLung	Pulmonary devel.	ENCSR141VGA	ENCLB552RTF	ENCBS191SRJ	AG9130	LN3167	DS14724	DS14751	Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	85D	F		H23266	Biosample protocol	Experiment protocol	PE	minElute	80	18.4	15240000		2010-04-30	266350973	0.6688	279120	278366
183	H7_hESC_T2		ENCSR000EMX	ENCLB446ZZZ	ENCBS295AAA	AG4077	LN3169	DS14732		Cardiovascular	Cardiac Muscle	Heart	Lines	ESC	Mesoderm	H7 embryonic stem differentiation day 2	Embryonic		F		H23284	Biosample protocol	Experiment protocol	PE	minElute	120	50			2010-04-24	24028268	0.3094	31858	31694
184	fLung		ENCSR141VGA	ENCLB787PTH	ENCBS191SRJ	AG9129	LN3176	DS14751	DS14724	Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	85D	F		H23266	Biosample protocol	Experiment protocol	PE	minElute	120	50	9720000	Buffer A	2010-05-04	22024220	0.6688	46342	46165
185	HAc		ENCSR000ENC	ENCLB455ZZZ	ENCBS303AAA	AG4076	LN3179	DS14765	DS14770	Nervous		Brain	Primary	Primary	Ectoderm	Human Astrocytes - cerebellar	Fetal	21W	F			Biosample protocol	Experiment protocol	PE	minElute	160	39	15840000	Buffer A	2010-05-05	40042979	0.4523	100260	100143
186	HAc		ENCSR000ENC	ENCLB456ZZZ	ENCBS115FPY	AG4075	LN3180	DS14770	DS14765	Nervous		Brain	Primary	Primary	Ectoderm	Human Astrocytes - cerebellar	Fetal	21W	F			Biosample protocol	Experiment protocol	PE	minElute	160	50	11440000	Buffer A	2010-05-05	28409726	0.4321	72339	72261
187	HAsp		ENCSR000ENB	ENCLB453ZZZ	ENCBS302AAA	AG4074	LN3184	DS14790	DS14794	Nervous		Spinal Cord	Primary	Primary	Ectoderm	Human Astrocytes - spinal cord	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	In-PE	minElute	160	48.2	10380000	Buffer A	2010-05-06	239862490	0.5578	204145	203622
188	HAsp		ENCSR000ENB	ENCLB454ZZZ	ENCBS995OME	AG4073	LN3185	DS14794	DS14790	Nervous		Spinal Cord	Primary	Primary	Ectoderm	Human Astrocytes - spinal cord	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	In-PE	minElute	120	41.8	16800000	Buffer A	2010-05-06	32231827	0.4291	41041	40787
189	fBrain		ENCSR156CLC	ENCLB784NNQ	ENCBS496RLL	AG9128	LN3186	DS14803	DS14815	Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	96D	F		H23284	Biosample protocol	Experiment protocol	PE	minElute	80	29.6	15000000	Buffer A	2010-05-07	24117298	0.5582	72988	72777
190	fLung	Pulmonary devel.	ENCSR847RSJ	ENCLB783TJT	ENCBS611ZZU	AG9127	LN3187	DS14809	DS14820	Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	96D	F		H23284	Biosample protocol	Experiment protocol	PE	minElute	160	18.5	11520000	Buffer A	2010-05-07	38339317	0.5573	89082	88862
191	fBrain		ENCSR156CLC	ENCLB907TUF	ENCBS496RLL	AG9126	LN3188	DS14815	DS14803	Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	96D	F		H23284	Biosample protocol	Experiment protocol	PE	minElute	80	8.2	9000000	Buffer A	2010-05-10	20692661	0.5582	63933	63731
192	fLung		ENCSR847RSJ	ENCLB183OTV	ENCBS611ZZU	AG9125	LN3189	DS14820	DS14809	Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	96D	F		H23284	Biosample protocol	Experiment protocol	PE	minElute	120	50	8510000	Buffer A	2010-05-10	19400589	0.5573	47919	47724
193	HBVP		ENCSR000ENF	ENCLB461ZZZ	ENCBS305AAA	AG4072	LN3192	DS14834		Cardiovascular	Vascular	Brain	Primary	Primary	Mesoderm	Human Brain Vascular Pericytes	Fetal					Biosample protocol	Experiment protocol	In-PE	minElute	160	39.8	17200000	PBS+A	2010-05-10	44195360	0.3866	45191	45050
194	HBVSMC		ENCSR000ENG	ENCLB462ZZZ	ENCBS559NJN	AG4071	LN3197	DS14845	DS14860	Musculoskeletal	Smooth Muscle	Vascular	Primary	Primary	Mesoderm	Human Brain Vascular Smooth Muscle Cells	Fetal	20/21 Wk gest	F			Biosample protocol	Experiment protocol	In-PE	minElute	240	64.2	14960000	PBS+A	2010-05-11	25325988	0.4394	52389	52272
195	HBVSMC		ENCSR000ENG	ENCLB463ZZZ	ENCBS306AAA	AG4070	LN3201	DS14860	DS14845	Musculoskeletal	Smooth Muscle	Vascular	Primary	Primary	Mesoderm	Human Brain Vascular Smooth Muscle Cells	Fetal	20/21 Wk gest	F			Biosample protocol	Experiment protocol	In-PE	minElute	240	100	13440000	PBS+A	2010-05-11	24640267	0.3954	41151	41009
196	HFF_MyC		ENCSR000ENR	ENCLB484ZZZ	ENCBS411AMC	AG4069	LN3249	DS15073	DS15079	Connective		Skin	Lines	Immortalized	Mesoderm	Human Foreskin Fibroblasts_Myc Transgene	Neonatal		M			Biosample protocol	Experiment protocol	PE	minElute	80	50	14500000	PBS	2010-05-25	19583114	0.4607	50106	50042
197	HFF_MyC		ENCSR000ENR	ENCLB485ZZZ	ENCBS553ENC	AG4068	LN3250	DS15079	DS15073	Connective		Skin	Lines	Immortalized	Mesoderm	Human Foreskin Fibroblasts_Myc Transgene	Neonatal		M			Biosample protocol	Experiment protocol	PE	minElute	120	50	15240000	PBS	2010-05-25	29210907	0.5209	66519	66403
198	HFF		ENCSR000ENQ	ENCLB482ZZZ	ENCBS309AAA	AG4067	LN3259	DS15115	DS15119	Connective		Skin	Lines	Immortalized	Mesoderm	Human Foreskin Fibroblasts	Neonatal		M			Biosample protocol	Experiment protocol	PE	minElute	160	50	10960000	PBS+A	2010-06-01	209535022	0.618	207099	206736
199	HFF		ENCSR000ENQ	ENCLB483ZZZ	ENCBS148GEQ	AG4066	LN3260	DS15119	DS15115	Connective		Skin	Lines	Immortalized	Mesoderm	Human Foreskin Fibroblasts	Neonatal		M			Biosample protocol	Experiment protocol	PE	minElute	120	50	9600000	PBS+A	2010-06-01	20997521	0.5541	63377	63263
200	fAdrenal		ENCSR856QJX	ENCLB228PXH	ENCBS210BUA	AG9124	LN3261	DS15123		Endocrine		Adrenal Gland	Primary	Primary	Mesoderm	Adrenal	Fetal	85D	M		H23327	Biosample protocol	Experiment protocol	PE	minElute	120	50	5940000	A+Sucrose	2010-06-03	32360095	0.3521	40882	40654
201	iPS_19_7		ENCSR440QMR	ENCLB743SGM	ENCBS858DVB	AG9123	LN3273	DS15148		Embryonic		Germ	Lines	iPSC	Primitive	Induced pluripotent stem cells	Neonatal					Biosample protocol	Experiment protocol	PE	minElute	80	29	9360000	PBS	2010-05-26	20267077	0.3378	41732	41597
202	iPS_6_9		ENCSR261SMF	ENCLB228BKF	ENCBS111INZ	AG9122	LN3279	DS15164		Embryonic		Germ	Lines	iPSC	Primitive	Induced pluripotent stem cells	Neonatal					Biosample protocol	Experiment protocol	PE	minElute	120	100	11520000	PBS	2010-05-27	22105887	0.3558	40426	40274
203	iPS_4_7		ENCSR014FPY	ENCLB786FJG	ENCBS624PSN	AG9121	LN3281	DS15169		Embryonic		Germ	Lines	iPSC	Primitive	Induced pluripotent stem cells	Neonatal					Biosample protocol	Experiment protocol	PE	minElute	120	50	7920000	PBS	2010-05-27	19477087	0.3358	31392	31278
204	HAh		ENCSR000ENA	ENCLB451ZZZ	ENCBS301AAA	AG4065	LN3285	DS15192	DS15202	Nervous		Brain	Primary	Primary	Ectoderm	Human Astrocytes - hippocampal	Fetal	24W	F			Biosample protocol	Experiment protocol	In-PE	minElute	120	24.2	9800000	PBS+A	2010-06-07	299529818	0.5915	254968	254347
205	HAh		ENCSR000ENA	ENCLB452ZZZ	ENCBS532PIT	AG4064	LN3289	DS15202	DS15192	Nervous		Brain	Primary	Primary	Ectoderm	Human Astrocytes - hippocampal	Fetal	24W	F			Biosample protocol	Experiment protocol	In-PE	minElute	160	28.2	8600000	PBS+A	40336	27227738	0.3058	34662	34536
206	fLung		ENCSR076YBB	ENCLB122PEF	ENCBS015WUS	AG9120	LN3295	DS15227		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	108D	M		H23365	Biosample protocol	Experiment protocol	PE	minElute	100	50	15700000	A+Sucrose	2010-06-08	21595564	0.43	39713	39498
207	K562		ENCSR000EOY	ENCLB253REF	ENCBS566SQN	AG5627	LN3327	DS15363		Hematopoietic	Erythroid	Blood	Cancer	Cancer	Mesoderm		Adult	53Y	F			Biosample protocol	Experiment protocol	PE	minElute	80	100	18400000	Buffer A	2010-06-14	237103568	0.5319	157774	157512
208	fBrain		ENCSR118WIQ	ENCLB856QFE	ENCBS733PYV	AG9119	LN3352	DS15453		Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	112D	U		H23399	Biosample protocol	Experiment protocol	In-PE	minElute	80	22	7760000	A+Sucrose	2010-06-21	34450547	0.3835	41142	40659
209	fLung		ENCSR006IJP	ENCLB771UEZ	ENCBS007KEC	AG9118	LN3355	DS15461		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	112D	U		H23399	Biosample protocol	Experiment protocol	In-PE	minElute	80	33.3	8160000	A+Sucrose	2010-06-21	35561898	0.489	62039	61725
210	HSMM_D		ENCSR000EOP	ENCLB531ZZZ	ENCBS236AFP	AG5626	LN3374	DS15538	DS15542	Musculoskeletal		Muscle	Lines	Immortalized	Mesoderm	Human Skeletal Muscle Myoblasts	Adult	26Y	M	Cauc		Biosample protocol	Experiment protocol	In-PE				6000000	PBS+A	2010-06-28	25630660	0.6481	73664	73568
211	HSMM_D		ENCSR000EOP	ENCLB532ZZZ	ENCBS526ENC	AG4062	LN3377	DS15542	DS15538	Musculoskeletal		Muscle	Lines	Immortalized	Mesoderm	Human Skeletal Muscle Myoblasts	Adult	26Y	M	Cauc		Biosample protocol	Experiment protocol	In-PE	minElute	160	28.2	9000000	PBS+A	2010-06-28	28332359	0.5373	43277	43170
212	fLung		ENCSR587HPR	ENCLB483SNQ	ENCBS421SEO	AG9117	LN3385	DS15573		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	82D	M		H23419	Biosample protocol	Experiment protocol	In-PE	minElute	80	17.2	7840000	A+Sucrose	2010-06-30	37003026	0.3964	54407	54011
213	fLung_R		ENCSR845MEJ	ENCLB220BEH	ENCBS861CBE	AG9116	LN3398	DS15632		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	117D	F		H23435	Biosample protocol	Experiment protocol	In-PE	minElute	80	63.2	14600000	A+Sucrose	2010-07-07	27870457	0.4825	46711	46389
214	fLung_L		ENCSR541AVF	ENCLB488FIS	ENCBS287DAY	AG9115	LN3399	DS15637		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	117D	F		H23435	Biosample protocol	Experiment protocol	In-PE	minElute	80	60.2	15400000	A+Sucrose	2010-07-07	35392237	0.4294	59972	59687
215	fHeart		ENCSR174JMM	ENCLB222RTS	ENCBS818LNM	AG9114	LN3400	DS15643		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	117D	F		H23435	Biosample protocol	Experiment protocol	In-PE	minElute	80	80	8310000	A+Sucrose	2010-07-07	20085543	0.63	36013	35797
216	fKidney_R		ENCSR765BSU	ENCLB182ILL	ENCBS168SAJ	AG9113	LN3402	DS15651		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	117D	F		H23435	Biosample protocol	Experiment protocol	In-PE	minElute	60	31.6	8880000	A+Sucrose	2010-07-08	34808287	0.3682	38281	37803
217	H7_hESC_T5		ENCSR000EMW	ENCLB445ZZZ	ENCBS296AAA	AG4061	LN3408	DS15665	DS11953	Cardiovascular	Cardiac Muscle	Heart	Lines	ESC	Mesoderm	H7 embryonic stem differentiation day 5	Embryonic		F			Biosample protocol	Experiment protocol		minElute	80	63.4	7970000	PBS+A	2010-07-12	42267779	0.3416	63837	63610
218	H7_hESC_T9		ENCSR000EMV	ENCLB443ZZZ	ENCBS297AAA	AG5625	LN3453	DS15809		Cardiovascular	Cardiac Muscle	Heart	Lines	ESC	Mesoderm	H7 embryonic stem differentiation day 9	Embryonic		F	Cauc		Biosample protocol	Experiment protocol		minElute	80	25.8	8100000	PBS+A	2010-07-16	69370252	0.4157	92460	92291
219	fHeart		ENCSR536NGW	ENCLB740GHK	ENCBS312JJA	AG9112	LN3462	DS15839		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	96D	M		H23468	Biosample protocol	Experiment protocol	In-PE	minElute	80	22	4800000	A+Sucrose	2010-07-20	24834995	0.4732	17901	17466
220	CD4		ENCSR643GHI	ENCLB354KDT	ENCBS117TZS	AG9111	LN3494	DS15947		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	CD4+ cells	Adult	33Y	F	Cauc	RO 01549	Biosample protocol	Experiment protocol	In-PE	minElute	80	37	5040000	Buffer A	2010-07-28	31185261	0.4149	30605	30409
221	fHeart		ENCSR914DOH	ENCLB442TPP	ENCBS746QTW	AG9109	LN3509	DS16018		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	103D	F		H23500	Biosample protocol	Experiment protocol	In-PE	minElute	80	31.5	4700000	A+Sucrose	2010-08-02	23928136	0.5722	32114	31782
222	fIntestine_Lg		ENCSR800QGE	ENCLB305VQS	ENCBS075JAX	AG9108	LN3513	DS16027		Digestive		Large Intestine	Primary	Primary	Endoderm	Intestine_Lg	Fetal	103D	F		H23500	Biosample protocol	Experiment protocol	In-PE	minElute	60	18.8	4500000	A+Sucrose	2010-08-02	25640122	0.3379	28563	28368
223	fKidney		ENCSR499PZA	ENCLB666SZB	ENCBS550PQQ	AG9107	LN3572	DS16139		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	105D	M		H23524	Biosample protocol	Experiment protocol	In-PE	minElute	60	36.6	7800000	A+Sucrose	2010-08-10	28581779	0.4059	27986	27778
224	fHeart		ENCSR320PGJ	ENCLB187URS	ENCBS816GCP	AG9106	LN3574	DS16146		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	105D	M		H23524	Biosample protocol	Experiment protocol	In-PE	minElute	80	20	5040000	A+Sucrose	2010-08-10	32108399	0.4959	52645	52415
225	fIntestine_Lg		ENCSR531HPD	ENCLB935RRY	ENCBS733SDO	AG9105	LN3584	DS16164		Digestive		Large Intestine	Primary	Primary	Endoderm	Intestine_Lg	Fetal	105D	M		H23524	Biosample protocol	Experiment protocol	In-PE	minElute	40	37.4	7980000	A+Sucrose	2010-08-10	26158378	0.482	47679	47451
226	fBrain		ENCSR187PYY	ENCLB385CPB	ENCBS150ZQT	AG9104	LN3657	DS16302		Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	142D	F		H23548	Biosample protocol	Experiment protocol	In-PE	minElute	60	58.4	5760000		2010-08-17	34185925	0.4588	52540	52111
227	CD56		ENCSR723JLG	ENCLB529QSB	ENCBS037BYL	AG9103	LN3680	DS16376		Hematopoietic		Blood	Primary	Primary	Mesoderm	CD56	Adult	34Y	F	Cauc	RO 01689	Biosample protocol	Experiment protocol	In-PE	minElute	160	25.4	7200000	Buffer A	2010-08-25	34479221	0.3097	35943	35662
228	fKidney_R	Tissue invariant	ENCSR871APX	ENCLB821MWU	ENCBS082XOA	AG9102	LN3690	DS16441		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	147D	F		H23589	Biosample protocol	Experiment protocol	In-PE	minElute	80	18.4	5810000	A+Sucrose	2010-08-30	37529612	0.3648	47328	47071
229	fKidney_L		ENCSR422PVL	ENCLB427VFA	ENCBS572YII	AG9101	LN3692	DS16446		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	147D	F		H23589	Biosample protocol	Experiment protocol	In-PE	minElute	80	24.4	8020000	A+Sucrose	2010-08-30	29441634	0.3071	31615	31382
230	fThymus		ENCSR777USE	ENCLB429HIF	ENCBS280SJR	AG9100	LN3700	DS16490		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	Thymus	Fetal	147D	F		H23589	Biosample protocol	Experiment protocol	In-PE	minElute	100	31	6120000	A+Sucrose	2010-09-01	34427981	0.3404	38388	38134
231	fHeart		ENCSR533VAF	ENCLB909WAN	ENCBS708NLN	AG9099	LN3702	DS16500		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	147D	F		H23589	Biosample protocol	Experiment protocol	In-PE	minElute	120	100	7600000	A+Sucrose	2010-09-01	33607731	0.4864	30939	30482
232	fStomach		ENCSR627KFV	ENCLB914WMH	ENCBS109VNU	AG9098	LN3712	DS16530		Digestive		Stomach	Primary	Primary	Endoderm	Stomach	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	100	56.4	5130000	A+Sucrose	2010-09-07	29204363	0.3615	35327	34928
233	fIntestine_Sm		ENCSR083FBK	ENCLB214DAA	ENCBS517YQG	AG9097	LN3713	DS16559		Digestive		Small Intestine	Primary	Primary	Endoderm	Intestine_Sm	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	60	61.9	5940000	A+Sucrose	2010-09-08	35900882	0.4096	49051	48721
234	fIntestine_Lg	Digestive	ENCSR154YPL	ENCLB180QWJ	ENCBS354ZZV	AG9096	LN3714	DS16563		Digestive		Large Intestine	Primary	Primary	Endoderm	Intestine_Lg	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	60	28.4	6510000	A+Sucrose	2010-09-08	69171806	0.3931	88343	88005
235	fLung_R		ENCSR441MMO	ENCLB929DZC	ENCBS577SYI	AG9095	LN3715	DS16566		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	80	105.5	7360000	A+Sucrose	2010-09-09	30296895	0.5154	45383	44875
236	fLung_L		ENCSR960EJV	ENCLB419ZLR	ENCBS647OUP	AG9094	LN3716	DS16570		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	80	73	7040000	A+Sucrose	2010-09-09	37843202	0.5059	64580	64294
237	fKidney_L		ENCSR974TXT	ENCLB867KSQ	ENCBS629UDA	AG9093	LN3718	DS16579		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	80	118.6	6660000	A+Sucrose	2010-09-09	34879125	0.3818	38542	37949
238	fHeart		ENCSR189YJQ	ENCLB645MEP	ENCBS516ACB	AG9092	LN3719	DS16582		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	110D	F		H23604	Biosample protocol	Experiment protocol	In-PE	minElute	80	35	8480000	A+Sucrose	2010-09-10	35949205	0.6356	70777	70548
239	HS5		ENCSR000EMG	ENCLB419ZZZ	ENCBS010ENC	AG4060	LN3725	DS16597		Connective		Stroma	Lines	Immortalized	Mesoderm	Human Stromal cell line HS-5	Adult	30Y	M	Cauc		Biosample protocol	Experiment protocol	In-PE	minElute	80	72.1	6300000	PBS+A	2010-09-14	39633601	0.497	84372	84191
240	HS27a		ENCSR000EMF	ENCLB418ZZZ	ENCBS009ENC	AG4059	LN3726	DS16602		Connective		Stroma	Lines	Immortalized	Mesoderm	Human Stromal cell line HS-27a	Adult	30Y	M	Cauc		Biosample protocol	Experiment protocol	In-PE	minElute	120	100	8720000	PBS+A	2010-09-14	34147014	0.4536	62391	62181
241	fHeart		ENCSR311LLZ	ENCLB282DMX	ENCBS125CGW	AG9091	LN3732	DS16621		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	110D	M		H23617	Biosample protocol	Experiment protocol	In-PE	minElute	90	75.2	3690000	A+Sucrose	2010-09-15	36200019	0.5749	55902	55433
242	fIntestine_Sm		ENCSR354FBA	ENCLB578SNT	ENCBS935HZX	AG9090	LN3755	DS16712		Digestive		Small Intestine	Primary	Primary	Endoderm	Intestine_Sm	Fetal	115D	M		H23640	Biosample protocol	Experiment protocol	PE	minElute	80	16.2	4440000	A+Sucrose	2010-09-21	19472379	0.3992	40495	40367
243	fLung_R	Pulmonary devel.	ENCSR228BOM	ENCLB184SOM	ENCBS391UEN	AG9089	LN3774	DS16790		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	115D	M		H23640	Biosample protocol	Experiment protocol	In-PE	minElute	40	66.6	11200000	A+Sucrose	2010-09-22	38160430	0.4544	63067	62856
244	fKidney_R		ENCSR990XXC	ENCLB499LHF	ENCBS803DCZ	AG9088	LN3776	DS16801		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	115D	M		H23640	Biosample protocol	Experiment protocol	In-PE	minElute	60	36.8	5490000	A+Sucrose	2010-09-22	37948649	0.5165	61691	61349
245	fKidney_L	Organ devel. / renal	ENCSR543YPH	ENCLB423VBH	ENCBS069DAA	AG9087	LN3779	DS16805		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	115D	M		H23640	Biosample protocol	Experiment protocol	In-PE				7170000	A+Sucrose		104350237	0.659	143175	142695
246	CD34		ENCSR000EMK	ENCLB426ZZZ	ENCBS485ENC	AG5623	LN3782	DS16814		Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	Hematopoietic progenitor cells	Adult	21Y	M	Cauc	RO 01679	Biosample protocol	Experiment protocol	In-PE				7440000	Buffer A		48112395	0.705	94063	93797
247	fHeart	Cardiac	ENCSR154ZNQ	ENCLB233PFA	ENCBS453VEU	AG9086	LN3787	DS16819		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	105D	F		H23663	Biosample protocol	Experiment protocol	In-PE				6630000	A+Sucrose		59478280	0.6575	114309	114010
248	fIntestine_Sm	Digestive	ENCSR860NDZ	ENCLB350LWK	ENCBS703SGX	AG9085	LN3788	DS16822		Digestive		Small Intestine	Primary	Primary	Endoderm	Intestine_Sm	Fetal	105D	F		H23663	Biosample protocol	Experiment protocol	In-PE	minElute	40	41.8	6300000	A+Sucrose	2010-09-27	39853546	0.405	67461	67268
249	CD3		ENCSR414IHC	ENCLB092RHM	ENCBS881BDJ	AG9084	LN3792	DS16834		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	CD3+ T cells	Adult	21Y	M	Cauc	RO 01679	Biosample protocol	Experiment protocol	PE	minElute	160	12.9	4090000	Buffer A	2010-09-28	47086619	0.3837	49468	49284
250	fKidney		ENCSR953JVX	ENCLB712XWV	ENCBS263ZZU	AG9083	LN3793	DS16837		Renal		Kidney	Primary	Primary	Mesoderm	Kidney	Fetal	105D	F		H23663	Biosample protocol	Experiment protocol	In-PE	minElute	60	100	7930000	A+Sucrose	2010-09-29	30330102	0.3928	39761	39425
251	fThymus		ENCSR838IPF	ENCLB231BFD	ENCBS762JNN	AG9082	LN3795	DS16841		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	Thymus	Fetal	105D	F		H23663	Biosample protocol	Experiment protocol	In-PE	minElute	60	53.2	4230000	A+Sucrose	2010-09-29	29066442	0.3695	34832	34628
252	K562	Myeloid / erythroid	ENCSR000EOT	ENCLB843GMH	ENCBS545WKJ	AG5622	LN3817	DS16924		Hematopoietic	Erythroid	Blood	Cancer	Cancer	Mesoderm		Adult	53Y	F			Biosample protocol	Experiment protocol	In-PE	minElute	120	36.7	17100000	Buffer A	2010-10-06	241485881	0.5933	172610	172233
253	CD4		ENCSR569ATD	ENCLB056XEC	ENCBS103XXU	AG9081	LN3824	DS16955		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	CD4+ cells	Adult	21Y	M	Cauc	RO 01679	Biosample protocol	Experiment protocol	In-PE	minElute	120	53.4	4860000	Buffer A	2010-10-12	36830147	0.4073	42165	41932
254	CD8		ENCSR842VTJ	ENCLB979DCJ	ENCBS055LRK	AG9080	LN3828	DS16962		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	CD8+ cells	Adult	21Y	M	Cauc	RO 01679	Biosample protocol	Experiment protocol	In-PE	minElute	120	36.1	5460000	Buffer A	2010-10-14	23201906	0.3986	32922	32741
255	fIntestine_Sm		ENCSR970ZLG	ENCLB315HRG	ENCBS172TNU	AG9079	LN3833	DS16975		Digestive		Small Intestine	Primary	Primary	Endoderm	Intestine_Sm	Fetal	87D	M		H23724	Biosample protocol	Experiment protocol	In-PE	minElute	60	36.5	5580000	A+Sucrose	2010-10-18	28730946	0.4966	55229	55038
256	fKidney		ENCSR262QJC	ENCLB800UHP	ENCBS478OZL	AG9078	LN3859	DS17068		Renal		Kidney	Primary	Primary	Mesoderm	fKidney	Fetal	87D	M		H23724	Biosample protocol	Experiment protocol	In-PE	minElute	100	69.1	6440000	A+Sucrose	40472	24367478	0.3213	23329	23090
257	fIntestine_Sm		ENCSR457ILW	ENCLB569OLI	ENCBS325XPI	AG9077	LN3871	DS17092		Digestive		Small Intestine	Primary	Primary	Endoderm	Intestine_Sm	Fetal	91D	F		H23744	Biosample protocol	Experiment protocol	In-PE	minElute	60	36	5130000	A+Sucrose	2010-10-25	22462519	0.5357	38306	38065
258	fIntestine_Lg		ENCSR214QEO	ENCLB908YYP	ENCBS022EQP	AG9076	LN3872	DS17094		Digestive		Large Intestine	Primary	Primary	Endoderm	Intestine_Lg	Fetal	91D	F		H23744	Biosample protocol	Experiment protocol	In-PE	minElute	40	32	5450000	A+Sucrose	2010-10-25	34106606	0.3789	45558	45322
259	fLung_R		ENCSR263IGU	ENCLB097RTD	ENCBS233WJN	AG9075	LN3873	DS17101		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	91D	F		H23744	Biosample protocol	Experiment protocol	In-PE	minElute	80	52	5850000	A+Sucrose	2010-10-26	38198299	0.6164	74367	74058
260	fLung_L		ENCSR803VCR	ENCLB075MKH	ENCBS114AZP	AG9074	LN3874	DS17105		Respiratory		Lung	Primary	Primary	Endoderm	Lung	Fetal	91D	F		H23744	Biosample protocol	Experiment protocol	In-PE	minElute	80	64	5100000	A+Sucrose	2010-10-26	33307832	0.5563	63808	63489
261	CD34		ENCSR772HUG	ENCLB393ZTT	ENCBS722AKC	AG9073	LN3876	DS17112		Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	CD3+ T cells	Adult	37Y	M	Hisp	RO 01701	Biosample protocol	Experiment protocol	In-PE	minElute	120	43.8	6860000	Buffer A		19396471	0.5259	44883	44683
262	fKidney_L	Tissue invariant	ENCSR953XJU	ENCLB067UFI	ENCBS313FHH	AG9072	LN3892	DS17140		Renal		Kidney	Primary	Primary	Mesoderm	kidney	Fetal	107D	F		H23758	Biosample protocol	Experiment protocol	In-PE	minElute	80	63.5	6060000	A+Sucrose	2010-10-29	24386583	0.4957	39056	38683
